Borough,Neighborhood,ID,Name
Bronx,Morris Heights,4b298f71f964a520eba024e3,Golan Heights
Brooklyn,Bay Ridge,4b6785d6f964a520aa532be3,Karam
Brooklyn,Bay Ridge,58bee70d5804ea784f84ad53,Ruzana
Brooklyn,Manhattan Terrace,4cd2f57125ee6dcb7054470f,Aksaray Gyro
Brooklyn,Flatbush,4d90d33b5091a1cdf601c401,Gyro King
Brooklyn,Flatbush,49ee54faf964a5204d681fe3,Mimi's Hummus
Brooklyn,Kensington,548f5320498e0c4239295d00,Batata Pita Bar
Brooklyn,Kensington,4b3f8f95f964a5201ca925e3,Gyro Cafe
Brooklyn,Windsor Terrace,4cc5b65b01fb236a4d41b3ba,Bedawi Cafe
Brooklyn,Windsor Terrace,548f5320498e0c4239295d00,Batata Pita Bar
Brooklyn,Williamsburg,4efdcdf30cd6fe62d517e63e,Kabob Shack
Brooklyn,Brooklyn Heights,43eb685af964a520382f1fe3,Yemen Cafe
Brooklyn,Brooklyn Heights,4a7b8866f964a52052eb1fe3,Fatoosh BBQ & Pizza
Brooklyn,Cobble Hill,43eb685af964a520382f1fe3,Yemen Cafe
Brooklyn,Cobble Hill,4a7b8866f964a52052eb1fe3,Fatoosh BBQ & Pizza
Brooklyn,Mill Island,4e25fae981300e926f446900,Empire Grill
Brooklyn,Dyker Heights,4b6785d6f964a520aa532be3,Karam
Brooklyn,Dyker Heights,58bee70d5804ea784f84ad53,Ruzana
Brooklyn,Dyker Heights,4c1a9b71b306c92811e060b7,Halal Food Stand (across from Pizza Wagon)
Brooklyn,Clinton Hill,4a034bdaf964a520a9711fe3,Black Iris
Brooklyn,Downtown,43164480f964a52065271fe3,Bedouin Tent
Brooklyn,Downtown,4e9ccfeb9a5262f980e59ea0,Bijan's
Brooklyn,Boerum Hill,43164480f964a52065271fe3,Bedouin Tent
Brooklyn,Midwood,4a28b33cf964a5204c951fe3,Olympic Pita
Brooklyn,Prospect Park South,49ee54faf964a5204d681fe3,Mimi's Hummus
Brooklyn,Ocean Parkway,4cd2f57125ee6dcb7054470f,Aksaray Gyro
Brooklyn,Ocean Parkway,4b8eef52f964a520a63f33e3,David's Restaurant
Brooklyn,Fort Hamilton,4b6785d6f964a520aa532be3,Karam
Brooklyn,Fort Hamilton,58bee70d5804ea784f84ad53,Ruzana
Manhattan,Washington Heights,4b298f71f964a520eba024e3,Golan Heights
Manhattan,Hamilton Heights,4b5a620cf964a52086c128e3,Queen Sheeba
Manhattan,Central Harlem,4b5a620cf964a52086c128e3,Queen Sheeba
Manhattan,Upper West Side,5b68d2a5a22db700393e0f9e,Gazala's
Manhattan,Upper West Side,500dd1e6e4b0e95405a58703,Grill 212
Manhattan,Greenwich Village,45a7dc66f964a52019411fe3,12 Chairs
Manhattan,Morningside Heights,516056cfe4b027d842497b45,Silvana
Queens,Astoria,4ba58abaf964a520d01039e3,Al-sham Sweets and Pastries
Queens,Astoria,578837cecd108caad4364993,King of Falafel and Shawarma
Queens,Astoria,4276bf00f964a5208e211fe3,Mombar
Queens,Astoria,4b726a56f964a520467a2de3,Halal Sandwich Shop
Queens,Forest Hills,4c39273b2c8020a194458c00,Arzu
Queens,Forest Hills,4df50e846284fefe8fc7dba4,Stix Kosher Restaurant
Queens,Sunnyside,4e5836461f6e2a1922e29c82,Souk El Shater
Queens,Rego Park,4c39273b2c8020a194458c00,Arzu
Queens,Rego Park,4df50e846284fefe8fc7dba4,Stix Kosher Restaurant
Queens,Little Neck,4b79c89df964a520cc112fe3,Kebab House
Queens,Douglaston,4b79c89df964a520cc112fe3,Kebab House
Queens,Kew Gardens Hills,4b297d4df964a520c09f24e3,Grill Point
Queens,Kew Gardens Hills,4b5cdb93f964a520b14729e3,Hapisgah Steak House
Queens,Kew Gardens Hills,4be30043d27a20a11df4905b,Pita Hot
Queens,Briarwood,4b5cdb93f964a520b14729e3,Hapisgah Steak House
Queens,Briarwood,4e4cd7ebbd413c4cc66c9c64,Al Mehran Pakistani Cuisine
Queens,Steinway,4b5b2634f964a5209be628e3,Balkh Shish Kabab House
Queens,Floral Park,4bfc0c22b5cd2d7f10fd30fb,Halal Cart on union tpke
Queens,Hillcrest,4b59ee72f964a520d3a128e3,Cafe Muscat
Queens,Ravenswood,4bd1fad4a8b3a5936fda665f,King Of Falafel & Shawarma
Staten Island,Mariner's Harbor,4c081161bbc676b03cf545d5,Ali Baba
Brooklyn,Ditmas Park,49ee54faf964a5204d681fe3,Mimi's Hummus
Staten Island,Graniteville,4c081161bbc676b03cf545d5,Ali Baba
Staten Island,Arrochar,4ba66cebf964a520355139e3,Chinar on the Island
Staten Island,Grasmere,4ba66cebf964a520355139e3,Chinar on the Island
Staten Island,Elm Park,4c081161bbc676b03cf545d5,Ali Baba
Brooklyn,Mill Basin,4e25fae981300e926f446900,Empire Grill
Queens,Utopia,4b59ee72f964a520d3a128e3,Cafe Muscat
Queens,Pomonok,5044017ae4b07118818cfb2f,Melody Restaurant
Manhattan,Stuyvesant Town,531b94a8498e837f40b29ca7,Au Za'atar
Queens,Sunnyside Gardens,4e5836461f6e2a1922e29c82,Souk El Shater
Brooklyn,Fulton Ferry,4a9ff488f964a520b73d20e3,Tutt Cafe
Brooklyn,Madison,4cd2f57125ee6dcb7054470f,Aksaray Gyro
